coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow
"{'lon': -73.9662, 'lat': 42.6001}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 267.67, 'feels_like': 263.13, 'temp_min': 266.48, 'temp_max': 268.15, 'pressure': 1016, 'humidity': 77}",10000.0,"{'speed': 2.24, 'deg': 337, 'gust': 3.13}",{'all': 17},1610117882.0,"{'type': 3, 'id': 19530, 'country': 'US', 'sunrise': 1610108720, 'sunset': 1610141978}",-18000.0,5106841.0,Albany,200,,,
,,,,,,,,,,,,404,,city not found,
,,,,,,,,,,,,404,,city not found,
"{'lon': -28.7, 'lat': 38.5167}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 288.15, 'feels_like': 283.37, 'temp_min': 288.15, 'temp_max': 288.15, 'pressure': 1028, 'humidity': 63}",10000.0,"{'speed': 6.17, 'deg': 70}",{'all': 40},1610118150.0,"{'type': 1, 'id': 6883, 'country': 'PT', 'sunrise': 1610097141, 'sunset': 1610131822}",-3600.0,3372707.0,Ribeira Grande,200,,,
"{'lon': 80.5464, 'lat': 73.5069}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 248.5, 'feels_like': 239.59, 'temp_min': 248.5, 'temp_max': 248.5, 'pressure': 1027, 'humidity': 90, 'sea_level': 1027, 'grnd_level': 1021}",7344.0,"{'speed': 7.37, 'deg': 36}",{'all': 85},1610118144.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200.0,1507390.0,Dikson,200,,,
"{'lon': -42.0278, 'lat': -22.9661}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 303.58, 'feels_like': 306.86, 'temp_min': 303.15, 'temp_max': 304.15, 'pressure': 1010, 'humidity': 66}",10000.0,"{'speed': 3.09, 'deg': 170}",{'all': 0},1610118016.0,"{'type': 1, 'id': 8326, 'country': 'BR', 'sunrise': 1610093454, 'sunset': 1610141909}",-10800.0,3471451.0,Arraial do Cabo,200,,,
"{'lon': -113.5841, 'lat': 37.1041}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 271.15, 'feels_like': 267.35, 'temp_min': 271.15, 'temp_max': 271.15, 'pressure': 1025, 'humidity': 54}",10000.0,"{'speed': 1.05, 'deg': 44}",{'all': 1},1610118057.0,"{'type': 1, 'id': 5832, 'country': 'US', 'sunrise': 1610117285, 'sunset': 1610152434}",-25200.0,5546220.0,Saint George,200,,,
"{'lon': -3.5226, 'lat': 55.9029}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 271.9, 'feels_like': 267.57, 'temp_min': 271.48, 'temp_max': 272.15, 'pressure': 1023, 'humidity': 80}",10000.0,"{'speed': 2.5700000000000003, 'deg': 240}",{'all': 0},1610118199.0,"{'type': 1, 'id': 1442, 'country': 'GB', 'sunrise': 1610095265, 'sunset': 1610121610}",0.0,2644204.0,Livingston,200,,,
"{'lon': 72.8944, 'lat': 2.6708}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 301.02, 'feels_like': 303.82, 'temp_min': 301.02, 'temp_max': 301.02, 'pressure': 1008, 'humidity': 78, 'sea_level': 1008, 'grnd_level': 1007}",10000.0,"{'speed': 4.04, 'deg': 320}",{'all': 100},1610118199.0,"{'country': 'MV', 'sunrise': 1610068539, 'sunset': 1610111645}",18000.0,1337607.0,Kudahuvadhoo,200,,,
"{'lon': -115.95, 'lat': 30.4833}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 286.93, 'feels_like': 283.48, 'temp_min': 286.93, 'temp_max': 286.93, 'pressure': 1019, 'humidity': 75, 'sea_level': 1019, 'grnd_level': 1018}",10000.0,"{'speed': 4.78, 'deg': 325}",{'all': 0},1610118200.0,"{'country': 'MX', 'sunrise': 1610116902, 'sunset': 1610153954}",-28800.0,3984997.0,San Quintín,200,,,
"{'lon': 168.86430000000001, 'lat': -46.1927}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 285.93, 'feels_like': 282.13, 'temp_min': 285.93, 'temp_max': 285.93, 'pressure': 1011, 'humidity': 75}",10000.0,"{'speed': 4.92, 'deg': 247, 'gust': 7.6}",{'all': 81},1610118138.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1610125509, 'sunset': 1610181446}",46800.0,6201424.0,Mataura,200,,,
"{'lon': -79.2353, 'lat': 42.097}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 268.2, 'feels_like': 263.7, 'temp_min': 267.15, 'temp_max': 269.26, 'pressure': 1019, 'humidity': 93}",10000.0,"{'speed': 2.5700000000000003, 'deg': 40}",{'all': 90},1610118136.0,"{'type': 1, 'id': 4588, 'country': 'US', 'sunrise': 1610109891, 'sunset': 1610143337}",-18000.0,5122534.0,Jamestown,200,,,
"{'lon': -88.55, 'lat': 13.2833}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 300.38, 'feels_like': 305.53, 'temp_min': 299.15, 'temp_max': 302.15, 'pressure': 1016, 'humidity': 83}",10000.0,"{'speed': 1.03, 'deg': 50}",{'all': 0},1610118200.0,"{'type': 1, 'id': 7207, 'country': 'SV', 'sunrise': 1610108353, 'sunset': 1610149346}",-21600.0,3584003.0,Puerto El Triunfo,200,,,
"{'lon': 24.4336, 'lat': 0.8102}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 299.61, 'feels_like': 303.63, 'temp_min': 299.61, 'temp_max': 299.61, 'pressure': 1007, 'humidity': 80, 'sea_level': 1007, 'grnd_level': 958}",6599.0,"{'speed': 1.53, 'deg': 235}",{'all': 97},1610118200.0,"{'country': 'CD', 'sunrise': 1610079990, 'sunset': 1610123462}",7200.0,203717.0,Yangambi,200,{'1h': 0.68},,
